City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Priboj,BA,44.6,18.93,42.01,100,90,1.12,fog
302,Visby,SE,57.64,18.3,50,93,0,8.05,clear sky
303,Carpentras,FR,44.08,5.17,46.4,93,48,2.24,scattered clouds
304,Vermilion,US,40.17,-87.75,62.01,55,1,5.82,clear sky
305,Pangnirtung,CA,66.15,-65.71,13.15,79,100,1.16,overcast clouds
306,Whitehorse,CA,60.72,-135.05,5,71,20,9.17,few clouds
307,Shubarshi,KZ,48.59,57.19,46.27,84,100,13.62,overcast clouds
308,Krasnyy Yar,RU,46.53,48.35,44.6,81,75,13.42,broken clouds
309,Lata,PT,40.16,-8.33,57.99,90,39,4.27,scattered clouds
310,Waipawa,NZ,-41.41,175.52,64.99,82,81,17.22,broken clouds
311,Kangaatsiaq,GL,68.31,-53.46,18.27,91,100,31.32,overcast clouds
312,Jiayuguan,CN,39.82,98.3,34.83,61,0,0.43,clear sky
313,Faanui,PF,-16.48,-151.75,79.74,80,0,16.82,clear sky
314,Neiafu,TO,-18.65,-173.98,80.6,65,40,5.82,scattered clouds
315,Placido De Castro,BR,-10.34,-67.19,82.72,54,100,1.81,overcast clouds
316,Spilamberto,IT,44.53,11.02,51.01,81,0,1.99,clear sky
317,Porangatu,BR,-13.44,-49.15,74.3,81,100,5.73,moderate rain
318,Pimentel,PE,-6.84,-79.93,64.4,72,0,12.75,clear sky
319,Saint-Francois,FR,46.42,3.91,52,93,0,2.24,clear sky
320,Kaitangata,NZ,-46.28,169.85,55,74,18,15.99,few clouds
321,Gayny,RU,60.31,54.32,35.33,96,100,4.45,overcast clouds
322,Lashio,MM,22.93,97.75,63.14,81,0,1.03,clear sky
323,Road Town,VG,18.42,-64.62,81,84,100,1.99,overcast clouds
324,Bouna,CI,9.27,-3,76.55,49,0,4.38,clear sky
325,Aklavik,CA,68.22,-135.01,12.2,85,75,3.36,broken clouds
326,San Buenaventura,MX,27.08,-101.53,73.99,44,0,8.99,clear sky
327,Wewak,PG,-3.55,143.63,82.87,75,76,6.71,light rain
328,Sorong,ID,-0.88,131.25,84.51,71,76,11.23,broken clouds
329,Sterling,US,39.01,-77.43,59,62,1,3.36,clear sky
330,Zhangye,CN,38.93,100.45,39.09,54,0,2.98,clear sky
331,San Vicente,AR,-26.62,-54.13,65.07,46,0,2.28,clear sky
332,Mapimi,MX,25.82,-103.85,78.8,32,5,5.08,clear sky
333,Poum,NC,-20.23,164.02,78.13,73,0,8.52,clear sky
334,Lodwar,KE,3.12,35.6,79.09,60,99,8.39,overcast clouds
335,San Luis,AR,-33.3,-66.34,77,41,75,9.17,light intensity shower rain
336,Van Buren,US,35.44,-94.35,66.2,59,1,5.82,clear sky
337,Bengkulu,ID,-3.8,102.27,80.92,71,6,3.18,clear sky
338,Potchefstroom,ZA,-26.72,27.1,64.17,40,81,1.61,broken clouds
339,Kutum,SD,14.2,24.67,61.75,32,0,7.23,clear sky
340,Khash,IR,28.22,61.22,45.03,57,0,1.23,clear sky
341,Conceicao Do Araguaia,BR,-8.26,-49.26,72.46,96,100,2.44,overcast clouds
342,Nemuro,JP,43.32,145.57,55.4,76,0,2.24,clear sky
343,Kirensk,RU,57.79,108.11,2.14,92,67,4.9,broken clouds
344,Dharchula,IN,29.85,80.53,49.69,42,0,4.47,clear sky
345,Ilulissat,GL,69.22,-51.1,12.2,51,100,20.8,overcast clouds
346,Nueva Concepcion,GT,14.2,-91.3,78.8,88,90,7.45,overcast clouds
347,Shenjiamen,CN,29.96,122.3,67.23,62,56,11.07,broken clouds
348,Ati,TD,13.22,18.34,76.59,19,0,14.74,clear sky
349,Paamiut,GL,61.99,-49.67,32.27,97,100,27.31,overcast clouds
350,Tucumcari,US,35.17,-103.72,66.2,22,1,5.82,clear sky
351,Kirakira,SB,-10.45,161.92,83.01,75,87,6.15,light rain
352,Songjianghe,CN,42.19,127.48,42.64,65,0,8.63,clear sky
353,Casino,AU,-28.87,153.05,75.99,44,100,3.36,overcast clouds
354,Anderson,US,34.53,-82.65,62.6,72,1,7.14,clear sky
355,Seoul,KR,37.57,126.98,60.8,77,1,8.7,haze
356,Zhigansk,RU,66.77,123.37,-13.63,89,76,4.38,broken clouds
357,Livny,RU,52.43,37.61,39.52,82,100,10.2,light rain
358,Tuburan,PH,6.64,122.27,82.4,83,75,2.24,broken clouds
359,San Rafael,AR,-34.62,-68.33,70.61,39,47,15.52,scattered clouds
360,Severo-Kurilsk,RU,50.68,156.12,36.46,78,67,5.95,broken clouds
361,Yarada,IN,17.65,83.27,78.8,83,20,3.36,mist
362,Komsomolskiy,UZ,40.43,71.72,35.6,34,72,4.7,broken clouds
363,Beloha,MG,-25.17,45.05,65.66,77,20,1.7,few clouds
